고객ID,상담자ID,상담자명,등록일,딜러명,연락처,성별,생년월일,연령대,거주지역,관심차종,방문목적,월주행거리_km,주요용도,예상예산_만원,선호색상,동승인원구성,중요요소1,중요요소2,중요요소3,최근보유차종,기타요청사항
CUST1112,CS1008,이미숙,2024-12-30,홍길동,010-4110-9586,남,1985-09-22,30대,강원,스타리아,구매상담,1500,레저,4000,그레이,아이동반,내부공간,정숙성,재판매가,아반떼,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1113,CS1003,김영일,2024-10-17,홍길동,010-9151-3525,남,1997-12-01,20대,경기,아이오닉6,계약,1500,레저,2500,블루,친구와함께,디자인,브랜드,재판매가,아반떼,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1114,CS1004,김재호,2025-03-21,홍길동,010-5638-6285,여,1974-07-25,50대,제주,싼타페,계약,500,장거리 출장,4000,실버,혼자,내부공간,연비,재판매가,쏘렌토,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1115,CS1003,김영일,2024-10-26,홍길동,010-7714-6276,여,1994-09-05,30대,대구,아반떼,구매상담,500,아이 등하교,2500,네이비,아이동반,승차감,재판매가,연비,GV80,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1116,CS1007,이민지,2024-12-29,홍길동,010-2809-2577,남,1993-07-23,30대,경남,스타리아,시승,500,출퇴근,3500,블랙,배우자,정숙성,재판매가,내부공간,투싼,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1117,CS1004,김재호,2025-02-24,홍길동,010-9572-2092,남,1975-12-14,40대,강원,그랜저,시승,1000,여행,5000,네이비,친구와함께,안전성,디자인,정숙성,0,통풍시트와 열선시트 꼭 필요해요.
CUST1118,CS1009,홍예준,2024-10-16,홍길동,010-1717-3126,남,1976-09-25,40대,제주,GV80,구매상담,3000,장거리 출장,3500,그레이,혼자,재판매가,AS,가성비,티볼리,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1119,CS1002,김영자,2024-11-26,홍길동,010-3926-1512,남,1986-11-19,30대,제주,아반떼,시승,2500,레저,4500,네이비,친구와함께,정숙성,연비,내부공간,0,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1120,CS1000,김수민,2024-10-27,홍길동,010-4310-2753,여,1973-07-10,50대,충남,코나,시승,1500,출퇴근,3500,블랙,혼자,재판매가,AS,승차감,그랜저,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1121,CS1005,김은서,2025-03-01,홍길동,010-8952-4139,여,1955-05-14,60대,대전,스타리아,계약,3000,장거리 출장,3000,화이트,부모님동반,연비,브랜드,가성비,그랜저,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1122,CS1003,김영일,2024-11-21,홍길동,010-2617-1521,남,1965-10-12,50대,충북,코나,계약,2500,여행,3500,화이트,배우자,브랜드,AS,연비,K5,중고차 보상 혜택이 있으면 알려주세요.
CUST1123,CS1004,김재호,2024-10-11,홍길동,010-7366-9026,남,1954-11-19,70대,충남,캐스퍼,계약,3000,여행,4000,실버,배우자,안전성,재판매가,AS,GV70,통풍시트와 열선시트 꼭 필요해요.
CUST1124,CS1001,서정남,2025-01-07,홍길동,010-9615-5193,여,1955-06-06,60대,대구,캐스퍼,구매상담,2500,아이 등하교,3500,화이트,혼자,AS,브랜드,정숙성,XM3,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1125,CS1009,홍예준,2025-03-12,홍길동,010-1804-7002,여,1974-09-03,50대,대전,스타리아,견적문의,2000,출퇴근,5000,네이비,아이동반,재판매가,내부공간,브랜드,그랜저,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1126,CS1001,서정남,2025-01-20,홍길동,010-4616-2161,여,1960-10-01,60대,충남,GV70,구매상담,500,장거리 출장,4500,블루,부모님동반,연비,승차감,디자인,스타리아,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1127,CS1005,김은서,2025-02-09,홍길동,010-1214-4419,여,1965-04-25,50대,전북,GV80,시승,2500,장거리 출장,5000,그레이,아이동반,AS,안전성,디자인,코나,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1128,CS1008,이미숙,2024-12-11,홍길동,010-9051-2310,여,1976-06-21,40대,전북,아반떼,견적문의,1000,출퇴근,2500,블루,배우자,안전성,정숙성,내부공간,투싼,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1129,CS1004,김재호,2024-12-16,홍길동,010-8668-1994,여,1959-11-05,60대,경북,투싼,견적문의,3000,여행,3000,화이트,배우자,디자인,안전성,승차감,XM3,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1130,CS1001,서정남,2024-12-03,홍길동,010-6913-7814,여,1992-01-05,30대,충남,그랜저,견적문의,1500,장거리 출장,5000,블루,배우자,AS,정숙성,가성비,투싼,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1131,CS1003,김영일,2025-03-28,홍길동,010-7046-1955,남,1974-10-02,50대,세종,스타리아,시승,1500,레저,4500,실버,부모님동반,정숙성,승차감,디자인,싼타페,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1132,CS1004,김재호,2024-11-21,홍길동,010-5355-9667,여,1954-09-21,70대,경남,GV70,계약,2000,레저,2500,블랙,아이동반,디자인,안전성,정숙성,쏘렌토,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1133,CS1002,김영자,2024-10-31,홍길동,010-1666-2153,남,2004-04-08,20대,광주,캐스퍼,시승,500,레저,3000,실버,배우자,승차감,AS,가성비,쏘렌토,중고차 보상 혜택이 있으면 알려주세요.
CUST1134,CS1008,이미숙,2024-11-08,홍길동,010-5979-2276,여,1963-09-25,60대,대구,코나,구매상담,3000,레저,3500,블랙,아이동반,재판매가,정숙성,디자인,아반떼,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1135,CS1009,홍예준,2024-12-21,홍길동,010-4537-9511,남,1961-09-14,60대,대전,GV80,견적문의,2500,출퇴근,2500,화이트,혼자,재판매가,브랜드,가성비,티볼리,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1136,CS1009,홍예준,2025-02-28,홍길동,010-2591-2658,남,1992-03-26,30대,경남,GV70,견적문의,3000,아이 등하교,4000,블랙,부모님동반,브랜드,안전성,디자인,그랜저,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1137,CS1002,김영자,2025-04-01,홍길동,010-4784-9710,여,1987-02-15,30대,전남,스타리아,계약,1000,아이 등하교,4500,블랙,아이동반,AS,재판매가,내부공간,코나,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1138,CS1005,김은서,2025-02-07,홍길동,010-7313-4104,남,1983-04-11,40대,충북,투싼,계약,500,아이 등하교,4000,블랙,배우자,디자인,연비,브랜드,모닝,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1139,CS1009,홍예준,2024-12-19,홍길동,010-4164-9621,여,1979-02-25,40대,세종,싼타페,견적문의,2500,아이 등하교,3000,네이비,배우자,안전성,정숙성,재판매가,0,통풍시트와 열선시트 꼭 필요해요.
CUST1140,CS1004,김재호,2024-10-27,홍길동,010-5075-3931,여,1975-07-29,40대,서울,그랜저,계약,2500,여행,3000,블랙,친구와함께,AS,연비,정숙성,GV80,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1141,CS1007,이민지,2025-01-24,홍길동,010-7802-2728,여,1963-10-23,60대,강원,GV70,시승,500,여행,3000,실버,아이동반,내부공간,AS,연비,모닝,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1142,CS1000,김수민,2025-03-12,홍길동,010-6864-8515,남,1959-11-20,60대,충남,GV70,견적문의,500,여행,4500,그레이,친구와함께,브랜드,디자인,승차감,투싼,중고차 보상 혜택이 있으면 알려주세요.
CUST1143,CS1006,김지원,2024-10-26,홍길동,010-7997-2705,여,1983-03-12,40대,충북,GV70,견적문의,1000,장거리 출장,4500,레드,부모님동반,정숙성,연비,재판매가,그랜저,중고차 보상 혜택이 있으면 알려주세요.
CUST1144,CS1002,김영자,2024-11-25,홍길동,010-3733-3955,여,1997-04-27,20대,경남,GV70,계약,1000,레저,4500,블랙,아이동반,재판매가,AS,승차감,모닝,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1145,CS1009,홍예준,2025-02-18,홍길동,010-7579-9268,여,1998-11-23,20대,충북,GV70,계약,3000,레저,3500,그레이,혼자,AS,재판매가,디자인,티볼리,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1146,CS1009,홍예준,2024-12-20,홍길동,010-6529-3591,여,1989-05-07,30대,서울,GV80,계약,1500,레저,4500,블랙,혼자,재판매가,안전성,승차감,모닝,최근 전기차에 관심이 많아요.
CUST1147,CS1002,김영자,2024-10-23,홍길동,010-9747-8258,남,1987-12-05,30대,부산,GV80,시승,1000,출퇴근,4000,실버,부모님동반,승차감,내부공간,가성비,티볼리,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1148,CS1008,이미숙,2025-03-02,홍길동,010-6772-6163,여,1983-05-17,40대,부산,싼타페,구매상담,2500,아이 등하교,5000,그레이,친구와함께,내부공간,AS,승차감,XM3,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1149,CS1008,이미숙,2024-10-23,홍길동,010-6319-7090,여,1983-06-21,40대,충남,코나,계약,1000,장거리 출장,3500,레드,아이동반,가성비,브랜드,정숙성,캐스퍼,최근 전기차에 관심이 많아요.
CUST1150,CS1007,이민지,2025-02-14,홍길동,010-7755-8054,여,1960-05-04,60대,경남,아반떼,견적문의,1500,출퇴근,4500,블루,친구와함께,내부공간,재판매가,AS,코나,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1151,CS1004,김재호,2025-03-23,홍길동,010-6299-4943,남,1984-03-17,40대,강원,그랜저,견적문의,2000,아이 등하교,5000,그레이,배우자,가성비,정숙성,브랜드,GV70,최근 전기차에 관심이 많아요.
CUST1152,CS1002,김영자,2025-02-28,홍길동,010-9939-4504,남,1971-02-24,50대,세종,투싼,시승,3000,레저,3000,블루,배우자,연비,디자인,내부공간,K5,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1153,CS1007,이민지,2024-12-20,홍길동,010-7145-5162,남,1959-02-04,60대,광주,아이오닉6,구매상담,2000,여행,4000,블루,배우자,브랜드,AS,재판매가,그랜저,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1154,CS1001,서정남,2025-03-03,홍길동,010-6898-8412,남,1988-09-25,30대,부산,싼타페,계약,1000,출퇴근,4000,네이비,부모님동반,승차감,브랜드,연비,아이오닉6,중고차 보상 혜택이 있으면 알려주세요.
CUST1155,CS1004,김재호,2024-11-27,홍길동,010-8331-7505,남,1997-06-04,20대,충북,코나,계약,3000,레저,4500,그레이,배우자,정숙성,안전성,브랜드,캐스퍼,중고차 보상 혜택이 있으면 알려주세요.
CUST1156,CS1001,서정남,2025-04-02,홍길동,010-1003-1567,여,2002-06-07,20대,대전,스타리아,견적문의,3000,장거리 출장,2500,블루,아이동반,브랜드,가성비,승차감,모닝,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1157,CS1006,김지원,2024-11-06,홍길동,010-5660-1267,여,1972-02-26,50대,대구,캐스퍼,시승,1000,장거리 출장,4000,실버,배우자,연비,브랜드,내부공간,스타리아,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1158,CS1007,이민지,2024-10-27,홍길동,010-9480-3213,여,1979-01-11,40대,충북,코나,시승,1500,아이 등하교,5000,블랙,혼자,디자인,안전성,브랜드,아반떼,통풍시트와 열선시트 꼭 필요해요.
CUST1159,CS1006,김지원,2024-11-22,홍길동,010-5945-1107,여,1966-06-19,50대,인천,코나,견적문의,2500,장거리 출장,3000,블랙,부모님동반,승차감,안전성,AS,티볼리,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1160,CS1008,이미숙,2024-12-07,홍길동,010-5920-4635,여,1970-10-08,50대,울산,투싼,시승,2500,여행,4500,블루,아이동반,디자인,재판매가,연비,캐스퍼,통풍시트와 열선시트 꼭 필요해요.
CUST1161,CS1009,홍예준,2024-10-09,홍길동,010-4519-6159,남,1990-04-25,30대,대전,아반떼,계약,500,장거리 출장,5000,레드,부모님동반,디자인,정숙성,안전성,그랜저,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1162,CS1007,이민지,2025-03-18,홍길동,010-1355-5521,남,1997-08-16,20대,제주,캐스퍼,계약,2500,출퇴근,4500,그레이,아이동반,연비,내부공간,브랜드,아이오닉6,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1163,CS1003,김영일,2025-02-18,홍길동,010-9376-3534,남,1994-01-18,30대,부산,캐스퍼,견적문의,3000,출퇴근,4500,화이트,혼자,안전성,연비,브랜드,티볼리,중고차 보상 혜택이 있으면 알려주세요.
CUST1164,CS1002,김영자,2025-03-03,홍길동,010-2544-1618,남,1957-01-02,60대,전남,아반떼,계약,2000,여행,4000,화이트,친구와함께,승차감,AS,디자인,아반떼,중고차 보상 혜택이 있으면 알려주세요.
CUST1165,CS1008,이미숙,2025-02-13,홍길동,010-8542-6827,여,1985-09-14,30대,제주,싼타페,구매상담,500,출퇴근,3500,그레이,친구와함께,내부공간,정숙성,재판매가,스타리아,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1166,CS1003,김영일,2024-10-30,홍길동,010-3557-3267,여,1958-08-25,60대,충남,싼타페,견적문의,1000,출퇴근,2500,네이비,부모님동반,재판매가,연비,가성비,캐스퍼,통풍시트와 열선시트 꼭 필요해요.
CUST1167,CS1001,서정남,2024-10-13,홍길동,010-5341-7014,남,2000-10-02,20대,부산,스타리아,시승,1000,출퇴근,4000,그레이,배우자,정숙성,가성비,연비,코나,최근 전기차에 관심이 많아요.
CUST1168,CS1008,이미숙,2024-12-24,홍길동,010-5093-4817,여,1997-12-29,20대,세종,GV80,견적문의,2500,레저,5000,네이비,아이동반,가성비,브랜드,승차감,스타리아,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1169,CS1006,김지원,2024-12-06,홍길동,010-5198-5920,여,1986-05-11,30대,경기,아이오닉6,구매상담,3000,여행,4500,그레이,혼자,AS,내부공간,재판매가,티볼리,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1170,CS1006,김지원,2024-11-16,홍길동,010-2505-7550,남,1994-07-08,30대,강원,캐스퍼,구매상담,2500,여행,3000,네이비,배우자,브랜드,승차감,안전성,그랜저,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1171,CS1008,이미숙,2025-03-16,홍길동,010-4562-2264,여,1970-02-02,50대,전남,GV70,구매상담,2000,장거리 출장,3500,블랙,아이동반,디자인,안전성,AS,싼타페,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1172,CS1008,이미숙,2024-10-09,홍길동,010-6319-8905,남,1994-02-20,30대,부산,코나,계약,3000,레저,4500,화이트,혼자,가성비,정숙성,재판매가,0,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1173,CS1003,김영일,2025-02-06,홍길동,010-3832-8999,여,1966-03-12,50대,강원,아이오닉6,구매상담,1000,출퇴근,5000,네이비,부모님동반,가성비,재판매가,내부공간,스타리아,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1174,CS1008,이미숙,2025-01-23,홍길동,010-2562-5921,여,1976-10-18,40대,강원,캐스퍼,계약,2500,아이 등하교,3500,실버,아이동반,정숙성,안전성,재판매가,투싼,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1175,CS1007,이민지,2025-02-19,홍길동,010-1612-7251,여,1971-09-23,50대,울산,아반떼,견적문의,2000,출퇴근,4500,네이비,배우자,승차감,연비,브랜드,티볼리,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1176,CS1004,김재호,2024-12-24,홍길동,010-2285-1916,남,1965-04-30,50대,울산,아반떼,구매상담,2000,레저,3000,그레이,친구와함께,AS,브랜드,안전성,0,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1177,CS1007,이민지,2025-01-19,홍길동,010-6478-6700,남,1995-08-03,20대,충남,싼타페,구매상담,3000,레저,4000,블랙,친구와함께,연비,정숙성,재판매가,싼타페,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1178,CS1000,김수민,2024-11-20,홍길동,010-8115-7824,남,1983-05-12,40대,전남,싼타페,구매상담,500,장거리 출장,2500,블랙,친구와함께,안전성,AS,연비,0,최근 전기차에 관심이 많아요.
CUST1179,CS1007,이민지,2024-11-07,홍길동,010-2974-4714,남,1960-06-18,60대,서울,GV70,계약,500,출퇴근,4500,블루,아이동반,정숙성,브랜드,연비,티볼리,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1180,CS1002,김영자,2025-02-17,홍길동,010-1187-7266,남,1980-08-08,40대,인천,GV70,구매상담,1000,장거리 출장,4500,레드,아이동반,AS,브랜드,내부공간,싼타페,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1181,CS1005,김은서,2025-03-28,홍길동,010-1886-5993,여,1967-05-18,50대,경북,GV80,구매상담,3000,장거리 출장,3500,블루,혼자,연비,디자인,내부공간,모닝,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1182,CS1006,김지원,2025-01-28,홍길동,010-9591-1674,여,1989-08-16,30대,부산,아이오닉6,구매상담,500,여행,4000,블루,아이동반,재판매가,디자인,연비,스타리아,통풍시트와 열선시트 꼭 필요해요.
CUST1183,CS1003,김영일,2025-04-05,홍길동,010-6231-9846,여,1980-04-29,40대,경기,아이오닉6,시승,3000,아이 등하교,4500,레드,혼자,승차감,AS,연비,캐스퍼,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1184,CS1009,홍예준,2025-02-16,홍길동,010-3450-6354,남,1987-09-19,30대,전북,그랜저,견적문의,1000,레저,3000,레드,부모님동반,정숙성,AS,내부공간,코나,통풍시트와 열선시트 꼭 필요해요.
CUST1185,CS1001,서정남,2024-12-06,홍길동,010-9231-4617,여,1989-05-29,30대,부산,그랜저,계약,1000,출퇴근,3500,레드,친구와함께,재판매가,내부공간,AS,아이오닉6,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1186,CS1004,김재호,2024-10-10,홍길동,010-3509-1827,여,1972-11-26,50대,경남,투싼,견적문의,2500,여행,4000,블랙,친구와함께,내부공간,디자인,브랜드,스타리아,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1187,CS1001,서정남,2025-03-23,홍길동,010-7436-8300,남,1957-08-22,60대,경기,싼타페,계약,3000,장거리 출장,5000,그레이,아이동반,AS,디자인,정숙성,아이오닉6,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1188,CS1004,김재호,2025-02-08,홍길동,010-9269-2475,여,1995-08-29,20대,충남,코나,시승,1000,출퇴근,3000,그레이,부모님동반,정숙성,재판매가,내부공간,투싼,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1189,CS1000,김수민,2024-12-02,홍길동,010-4638-8076,남,1998-04-24,20대,충남,GV70,시승,2500,레저,3500,네이비,부모님동반,연비,브랜드,내부공간,모닝,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1190,CS1001,서정남,2024-12-02,홍길동,010-5747-7460,남,2003-05-06,20대,제주,싼타페,계약,1000,장거리 출장,3500,실버,아이동반,안전성,승차감,디자인,아반떼,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1191,CS1006,김지원,2024-10-11,홍길동,010-3425-3165,여,1974-09-09,50대,전남,코나,계약,500,아이 등하교,3500,블랙,부모님동반,재판매가,가성비,안전성,투싼,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1192,CS1002,김영자,2025-03-10,홍길동,010-6507-2352,여,1976-10-21,40대,서울,캐스퍼,견적문의,2500,여행,3500,그레이,아이동반,내부공간,승차감,브랜드,K5,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1193,CS1009,홍예준,2025-03-26,홍길동,010-8796-1807,남,1967-11-22,50대,경남,아반떼,구매상담,2000,아이 등하교,3500,블루,부모님동반,재판매가,가성비,AS,모닝,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1194,CS1004,김재호,2025-02-04,홍길동,010-9980-7540,여,1965-01-15,50대,충남,그랜저,구매상담,2500,레저,3000,블루,친구와함께,연비,안전성,가성비,XM3,통풍시트와 열선시트 꼭 필요해요.
CUST1195,CS1004,김재호,2025-02-23,홍길동,010-5301-2393,남,1975-07-02,40대,전남,스타리아,구매상담,3000,아이 등하교,3000,실버,배우자,내부공간,재판매가,디자인,XM3,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1196,CS1009,홍예준,2025-01-01,홍길동,010-7529-9221,여,1967-01-31,50대,전북,GV70,계약,2500,출퇴근,3500,블루,친구와함께,재판매가,디자인,정숙성,스타리아,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1197,CS1005,김은서,2025-02-24,홍길동,010-8118-3136,남,1990-08-25,30대,부산,GV80,계약,1500,여행,2500,화이트,혼자,브랜드,가성비,정숙성,XM3,하이브리드 모델도 비교해보고 싶어요.
CUST1198,CS1005,김은서,2025-02-16,홍길동,010-3209-8879,여,1982-10-05,40대,경북,GV80,구매상담,1500,출퇴근,4000,화이트,아이동반,내부공간,디자인,정숙성,코나,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1199,CS1005,김은서,2025-01-31,홍길동,010-4245-8993,여,1991-07-25,30대,충북,스타리아,구매상담,2500,여행,3500,그레이,혼자,안전성,재판매가,AS,싼타페,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1200,CS1004,김재호,2024-10-22,홍길동,010-7476-4212,남,1957-09-01,60대,인천,아이오닉6,견적문의,3000,출퇴근,5000,네이비,배우자,가성비,정숙성,승차감,아반떼,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1201,CS1005,김은서,2024-12-26,홍길동,010-9589-5034,여,1996-07-29,20대,경북,투싼,계약,3000,장거리 출장,3000,블루,부모님동반,내부공간,연비,가성비,XM3,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1202,CS1009,홍예준,2024-12-18,홍길동,010-4970-2173,여,1982-07-28,40대,전북,아이오닉6,구매상담,1000,아이 등하교,5000,네이비,혼자,재판매가,디자인,승차감,쏘렌토,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1203,CS1005,김은서,2025-01-06,홍길동,010-5362-8046,남,2002-03-17,20대,경북,그랜저,견적문의,3000,여행,4500,블루,아이동반,재판매가,내부공간,정숙성,투싼,중고차 보상 혜택이 있으면 알려주세요.
CUST1204,CS1005,김은서,2024-11-22,홍길동,010-6298-2467,여,1988-08-30,30대,경북,GV80,구매상담,3000,아이 등하교,4500,레드,혼자,승차감,AS,디자인,스타리아,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1205,CS1004,김재호,2024-12-22,홍길동,010-2843-7776,남,1975-10-08,40대,대전,아반떼,구매상담,2500,여행,4000,레드,배우자,재판매가,내부공간,정숙성,아반떼,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1206,CS1007,이민지,2025-03-14,홍길동,010-7939-6984,남,1978-12-26,40대,대전,스타리아,견적문의,1000,장거리 출장,3500,네이비,부모님동반,재판매가,연비,AS,아이오닉6,최근 전기차에 관심이 많아요.
CUST1207,CS1007,이민지,2025-02-21,홍길동,010-6706-4120,남,1997-05-19,20대,울산,캐스퍼,계약,2000,여행,4000,블루,부모님동반,안전성,승차감,디자인,아이오닉6,최근 전기차에 관심이 많아요.
CUST1208,CS1003,김영일,2024-12-23,홍길동,010-6254-6644,여,2003-01-14,20대,부산,코나,구매상담,2500,아이 등하교,3000,네이비,부모님동반,재판매가,안전성,디자인,투싼,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1209,CS1004,김재호,2025-01-10,홍길동,010-1396-5994,여,1988-11-07,30대,부산,스타리아,구매상담,2000,출퇴근,5000,네이비,배우자,브랜드,연비,안전성,GV70,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1210,CS1005,김은서,2024-12-06,홍길동,010-3773-6729,남,1985-01-28,30대,경북,그랜저,구매상담,1000,레저,5000,실버,친구와함께,내부공간,승차감,정숙성,캐스퍼,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1211,CS1003,김영일,2024-12-04,홍길동,010-8245-3389,남,1988-07-20,30대,충남,GV70,견적문의,2500,레저,3000,실버,아이동반,브랜드,재판매가,디자인,코나,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1212,CS1006,김지원,2024-11-29,홍길동,010-8216-1735,남,1999-11-15,20대,경기,싼타페,구매상담,1000,장거리 출장,5000,실버,배우자,내부공간,안전성,승차감,GV70,통풍시트와 열선시트 꼭 필요해요.
CUST1213,CS1006,김지원,2025-03-16,홍길동,010-4825-4271,여,2000-03-25,20대,경북,그랜저,시승,2000,레저,5000,실버,아이동반,안전성,재판매가,AS,아이오닉6,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1214,CS1001,서정남,2025-03-07,홍길동,010-7124-3555,여,1969-08-11,50대,충남,그랜저,계약,1000,여행,3000,그레이,아이동반,AS,브랜드,재판매가,코나,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1215,CS1009,홍예준,2024-11-10,홍길동,010-2405-2841,여,1963-02-10,60대,충북,아이오닉6,시승,500,여행,2500,화이트,배우자,안전성,재판매가,연비,티볼리,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1216,CS1003,김영일,2024-12-06,홍길동,010-1893-4982,남,2002-06-02,20대,강원,싼타페,견적문의,500,아이 등하교,3500,화이트,아이동반,승차감,연비,내부공간,GV80,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1217,CS1003,김영일,2025-03-25,홍길동,010-3419-5713,여,1992-06-17,30대,대구,그랜저,시승,1000,여행,2500,블랙,친구와함께,가성비,정숙성,안전성,아이오닉6,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1218,CS1000,김수민,2025-04-01,홍길동,010-1225-6624,여,1955-12-11,60대,인천,캐스퍼,구매상담,2000,출퇴근,3000,그레이,혼자,디자인,재판매가,AS,쏘렌토,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1219,CS1004,김재호,2025-03-04,홍길동,010-2823-5999,남,1998-04-05,20대,전북,싼타페,구매상담,500,레저,4500,화이트,친구와함께,승차감,안전성,AS,캐스퍼,최근 전기차에 관심이 많아요.
CUST1220,CS1002,김영자,2024-10-15,홍길동,010-8373-8719,여,1984-12-16,40대,경북,투싼,시승,500,장거리 출장,2500,레드,부모님동반,AS,내부공간,재판매가,코나,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1221,CS1003,김영일,2025-01-10,홍길동,010-1372-6437,여,1999-03-23,20대,대구,투싼,견적문의,3000,출퇴근,5000,실버,배우자,정숙성,재판매가,가성비,모닝,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1222,CS1004,김재호,2025-01-18,홍길동,010-4424-9814,남,1962-08-25,60대,세종,스타리아,계약,500,장거리 출장,4000,블루,친구와함께,디자인,정숙성,연비,쏘렌토,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1223,CS1005,김은서,2025-02-27,홍길동,010-4471-4339,남,1996-03-28,20대,전북,GV80,계약,1500,레저,5000,블랙,부모님동반,디자인,연비,재판매가,아이오닉6,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1224,CS1004,김재호,2025-01-02,홍길동,010-9952-9573,남,1976-10-10,40대,부산,아이오닉6,계약,2500,아이 등하교,5000,블루,친구와함께,내부공간,재판매가,정숙성,싼타페,장거리 운전에 적합한 모델을 추천받고 싶어요.
